/////////////////////////////////////////////////////////////////////////////////////////////
/// [Gimigliano  192.168.1.1 Id: 1  OFFLINE  Errore: Connessione non riuscita]
/// [Gagliano  192.168.1.10 Id: 2  OFFLINE  Errore: Connessione non riuscita]
/// [Primo nodo  10.0.0.15 Id: 5  OFFLINE  Errore: Connessione non riuscita]
////////////////////////////////////////////////////////////////////////////////////////////
[16/02/2022 22:09:37] NOTIFY | Programma avviato con successo
[16/02/2022 22:09:37] NOTIFY | Impianti caricati con successo
[16/02/2022 22:09:37] NOTIFY | Tabelle caricate con successo
[16/02/2022 22:09:37] NOTIFY | Utente caricato con successo
[16/02/2022 22:10:03] NOTIFY | Programma avviato con successo
[16/02/2022 22:10:03] NOTIFY | Impianti caricati con successo
[16/02/2022 22:10:03] NOTIFY | Tabelle caricate con successo
[16/02/2022 22:10:03] NOTIFY | Utente caricato con successo
[16/02/2022 22:10:09] NOTIFY | Ecco la lista degli impianti non funzionanti:
/////////////////////////////////////////////////////////////////////////////////////////////
/// [Primo nodo  10.0.0.15 Id: 5  OFFLINE  Errore: Connessione non riuscita]
////////////////////////////////////////////////////////////////////////////////////////////
[16/02/2022 22:11:31] NOTIFY | Programma avviato con successo
[16/02/2022 22:11:31] NOTIFY | Impianti caricati con successo
[16/02/2022 22:11:31] NOTIFY | Tabelle caricate con successo
[16/02/2022 22:11:31] NOTIFY | Utente caricato con successo
[16/02/2022 22:13:48] NOTIFY | Programma avviato con successo
[16/02/2022 22:13:48] NOTIFY | Impianti caricati con successo
[16/02/2022 22:13:48] NOTIFY | Tabelle caricate con successo
[16/02/2022 22:13:48] NOTIFY | Utente caricato con successo
[16/02/2022 22:17:28] NOTIFY | Programma avviato con successo
[16/02/2022 22:17:28] NOTIFY | Impianti caricati con successo
[16/02/2022 22:17:28] NOTIFY | Tabelle caricate con successo
[16/02/2022 22:17:28] NOTIFY | Utente caricato con successo
[16/02/2022 22:17:34] NOTIFY | Ecco la lista degli impianti non funzionanti:
/////////////////////////////////////////////////////////////////////////////////////////////
/// [Gimigliano  192.168.1.1 Id: 1  OFFLINE  Errore: Connessione non riuscita]
/// [Primo nodo  10.0.0.15 Id: 5  OFFLINE  Errore: Connessione non riuscita]
////////////////////////////////////////////////////////////////////////////////////////////
[16/02/2022 22:18:45] NOTIFY | Programma avviato con successo
[16/02/2022 22:18:45] NOTIFY | Impianti caricati con successo
[16/02/2022 22:18:45] NOTIFY | Tabelle caricate con successo
[16/02/2022 22:18:45] NOTIFY | Utente caricato con successo
[16/02/2022 22:18:51] NOTIFY | Ecco la lista degli impianti non funzionanti:
/////////////////////////////////////////////////////////////////////////////////////////////
/// [Primo nodo  10.0.0.15 Id: 5  OFFLINE  Errore: Connessione non riuscita]
////////////////////////////////////////////////////////////////////////////////////////////
[16/02/2022 22:19:30] NOTIFY | Programma avviato con successo
[16/02/2022 22:19:30] NOTIFY | Impianti caricati con successo
[16/02/2022 22:19:30] NOTIFY | Tabelle caricate con successo
[16/02/2022 22:19:30] NOTIFY | Utente caricato con successo
[16/02/2022 22:19:36] NOTIFY | Ecco la lista degli impianti non funzionanti:
/////////////////////////////////////////////////////////////////////////////////////////////
/// [Gimigliano  192.168.1.1 Id: 1  OFFLINE  Errore: Connessione non riuscita]
/// [Gagliano  192.168.1.10 Id: 2  OFFLINE  Errore: Connessione non riuscita]
/// [Catanzaro lido  10.0.0.7 Id: 3  OFFLINE  Errore: Connessione non riuscita]
/// [Iphone 13 Pro  172.20.10.2 Id: 4  OFFLINE  Errore: Connessione non riuscita]
/// [Primo nodo  10.0.0.15 Id: 5  OFFLINE  Errore: Connessione non riuscita]
////////////////////////////////////////////////////////////////////////////////////////////
[16/02/2022 22:24:44] NOTIFY | Programma avviato con successo
[16/02/2022 22:24:44] NOTIFY | Impianti caricati con successo
